hand,token,count,share
1,qopchor,3,0.00041248453183005636
1,qotal,3,0.00041248453183005636
1,qotchar,3,0.00041248453183005636
1,qotcheol,3,0.00041248453183005636
1,qoto,3,0.00041248453183005636
1,raiin,3,0.00041248453183005636
1,ry,3,0.00041248453183005636
1,sain,3,0.00041248453183005636
1,sary,3,0.00041248453183005636
1,schey,3,0.00041248453183005636
1,schor,3,0.00041248453183005636
1,shear,3,0.00041248453183005636
1,shees,3,0.00041248453183005636
1,sheody,3,0.00041248453183005636
1,shoky,3,0.00041248453183005636
1,shom,3,0.00041248453183005636
1,shosaiin,3,0.00041248453183005636
1,tar,3,0.00041248453183005636
1,teey,3,0.00041248453183005636
1,teor,3,0.00041248453183005636
1,tey,3,0.00041248453183005636
1,tod,3,0.00041248453183005636
1,todaiin,3,0.00041248453183005636
1,toy,3,0.00041248453183005636
1,ycheey,3,0.00041248453183005636
1,yd,3,0.00041248453183005636
1,ydain,3,0.00041248453183005636
1,ydy,3,0.00041248453183005636
1,ykar,3,0.00041248453183005636
1,ykchody,3,0.00041248453183005636
1,ykoiin,3,0.00041248453183005636
1,ypchy,3,0.00041248453183005636
1,ysho,3,0.00041248453183005636
1,ytchody,3,0.00041248453183005636
1,ytchol,3,0.00041248453183005636
1,ytey,3,0.00041248453183005636
1,ytody,3,0.00041248453183005636
1,ytoiin,3,0.00041248453183005636
1,a,2,0.00027498968788670426
1,ain,2,0.00027498968788670426
1,aldy,2,0.00027498968788670426
1,an,2,0.00027498968788670426
1,cfhar,2,0.00027498968788670426
1,cha,2,0.00027498968788670426
1,chcfhhy,2,0.00027498968788670426
1,chckh,2,0.00027498968788670426
1,chckhhy,2,0.00027498968788670426
1,chcthey,2,0.00027498968788670426
1,chctho,2,0.00027498968788670426
1,cheaiin,2,0.00027498968788670426
1,cheain,2,0.00027498968788670426
1,cheal,2,0.00027498968788670426
1,chean,2,0.00027498968788670426
1,cheeey,2,0.00027498968788670426
1,cheen,2,0.00027498968788670426
1,cheeody,2,0.00027498968788670426
1,cheeor,2,0.00027498968788670426
1,cheod,2,0.00027498968788670426
1,cheodaiin,2,0.00027498968788670426
1,cheotol,2,0.00027498968788670426
1,cher,2,0.00027498968788670426
1,ches,2,0.00027498968788670426
1,chetchy,2,0.00027498968788670426
1,chkol,2,0.00027498968788670426
1,chkoldy,2,0.00027498968788670426
1,choaiin,2,0.00027498968788670426
1,chochor,2,0.00027498968788670426
1,chocphy,2,0.00027498968788670426
1,chodchy,2,0.00027498968788670426
1,chodey,2,0.00027498968788670426
1,chofchy,2,0.00027498968788670426
1,chokam,2,0.00027498968788670426
1,chokan,2,0.00027498968788670426
1,chokcho,2,0.00027498968788670426
1,chokeo,2,0.00027498968788670426
1,chokey,2,0.00027498968788670426
1,chokody,2,0.00027498968788670426
1,cholody,2,0.00027498968788670426
1,cholol,2,0.00027498968788670426
1,cholor,2,0.00027498968788670426
1,choor,2,0.00027498968788670426
1,chopchy,2,0.00027498968788670426
1,chopy,2,0.00027498968788670426
1,choraiin,2,0.00027498968788670426
1,chordy,2,0.00027498968788670426
1,choror,2,0.00027498968788670426
1,choshy,2,0.00027498968788670426
1,choteol,2,0.00027498968788670426
1,chotey,2,0.00027498968788670426
1,chotshol,2,0.00027498968788670426
1,chtol,2,0.00027498968788670426
1,chtor,2,0.00027498968788670426
1,chykchy,2,0.00027498968788670426
1,chykey,2,0.00027498968788670426
1,ckhal,2,0.00027498968788670426
1,ckheey,2,0.00027498968788670426
1,ckheody,2,0.00027498968788670426
1,ckhhy,2,0.00027498968788670426
1,ckho,2,0.00027498968788670426
1,ckhos,2,0.00027498968788670426
1,cky,2,0.00027498968788670426
1,cpho,2,0.00027498968788670426
1,cpholdy,2,0.00027498968788670426
