token,position_class,position_count,overall_count,position_share,overall_share,overrepresentation_ratio
shey,line_medial,256,271,0.009303677860154092,0.00730103992672019,1.2742948886095926
ches,line_medial,34,36,0.0012356447158017154,0.0009698798426639367,1.2740183489202241
kol,line_medial,34,36,0.0012356447158017154,0.0009698798426639367,1.2740183489202241
qockhy,line_medial,17,18,0.0006178223579008577,0.00048493992133196833,1.2740183489202241
aiin,line_medial,423,448,0.015372873964238988,0.012069615819817877,1.273683785278176
sheky,line_medial,33,35,0.0011993022241604885,0.0009429387359232717,1.2718771416111148
chol,line_medial,356,378,0.012937927024276784,0.010183738347971335,1.270449670071708
qokair,line_medial,16,17,0.0005814798662596307,0.0004579988145913034,1.2696099809308807
sheos,line_medial,16,17,0.0005814798662596307,0.0004579988145913034,1.2696099809308807
cheos,line_medial,31,33,0.0011266172408780346,0.0008890565224419419,1.2672054165730573
cheor,line_medial,92,98,0.003343509230992877,0.002640228460585161,1.2663711799591184
sheody,line_medial,46,49,0.0016717546154964384,0.0013201142302925804,1.2663711799591184
shedy,line_medial,398,424,0.014464311673208316,0.01142302925804192,1.2662413223729865
chckhy,line_medial,122,130,0.004433783980229685,0.0035023438762864377,1.2659476444474265
chey,line_medial,315,336,0.011447884866986481,0.00905221186486341,1.2646505669428696
kaiin,line_medial,60,64,0.002180549498473615,0.001724230831402554,1.2646505669428696
qokeol,line_medial,45,48,0.0016354121238552116,0.0012931731235519156,1.2646505669428696
lkchedy,line_medial,15,16,0.0005451373746184038,0.0004310577078506385,1.2646505669428696
ty,line_medial,15,16,0.0005451373746184038,0.0004310577078506385,1.2646505669428696
chcthy,line_medial,72,77,0.0026166593981683385,0.002074465219031198,1.2613657602754855
kain,line_medial,43,46,0.0015627271405727577,0.0012392909100705856,1.260984913125644
cheol,line_medial,155,166,0.005633086204390173,0.004472223718950374,1.2595716490033402
chckhey,line_medial,28,30,0.001017589765954354,0.0008082332022199472,1.2590298977564571
lkar,line_medial,28,30,0.001017589765954354,0.0008082332022199472,1.2590298977564571
qotedy,line_medial,84,90,0.0030527692978630614,0.0024246996066598415,1.259029897756457
opchey,line_medial,27,29,0.0009812472743131269,0.0007812920954792823,1.2559288388949876
ctho,line_medial,13,14,0.00047245239133594997,0.00037717549436930867,1.252606275829128
kair,line_medial,13,14,0.00047245239133594997,0.00037717549436930867,1.252606275829128
sheeol,line_medial,13,14,0.00047245239133594997,0.00037717549436930867,1.252606275829128
otar,line_medial,127,137,0.004615496438435819,0.003690931623471092,1.2504963270208813
lkeey,line_medial,38,41,0.0013810146823666231,0.001104585376367261,1.2502561702459591
qodaiin,line_medial,38,41,0.0013810146823666231,0.001104585376367261,1.2502561702459591
qokar,line_medial,138,149,0.005015263846489315,0.004014224904359071,1.2493729090871837
chor,line_medial,188,203,0.006832388428550661,0.005469044668354976,1.2492837127632683
checthy,line_medial,25,27,0.0009085622910306731,0.0007274098819979525,1.249037596980612
lkeedy,line_medial,37,40,0.001344672190725396,0.0010776442696265962,1.2477885593836313
keedy,line_medial,49,53,0.0017807820904201192,0.00142787865725524,1.2471522572115845
keeol,line_medial,12,13,0.0004361098996947231,0.0003502343876286438,1.2451944043745178
qokeeody,line_medial,12,13,0.0004361098996947231,0.0003502343876286438,1.2451944043745178
sheeky,line_medial,12,13,0.0004361098996947231,0.0003502343876286438,1.2451944043745178
shes,line_medial,12,13,0.0004361098996947231,0.0003502343876286438,1.2451944043745178
chedy,line_medial,451,490,0.01639046373019334,0.013201142302925805,1.2415943525251354
oteedy,line_medial,91,99,0.00330716673935165,0.0026671695673258257,1.2399536871843895
