section,token,section_count,overall_count,section_share,overall_share,overrepresentation_ratio
herbal,qokor,12,36,0.0010509721492380452,0.0009481918508178154,1.1083960997255795
herbal,chees,11,33,0.0009633911368015414,0.0008691758632496642,1.1083960997255795
herbal,cheos,11,33,0.0009633911368015414,0.0008691758632496642,1.1083960997255795
herbal,okol,27,83,0.002364687335785602,0.002186108989385519,1.081687759973156
herbal,sheo,15,47,0.0013137151865475565,0.0012379171385677036,1.0612303082478953
herbal,chcthy,25,79,0.002189525310912594,0.0020807543392946507,1.0522747782204869
herbal,chos,12,38,0.0010509721492380452,0.0010008691758632497,1.0500594628979174
herbal,dair,33,106,0.002890173410404624,0.0027918982274080122,1.035200130875777
herbal,ykeey,18,58,0.0015764582238570678,0.0015276424263175915,1.0319549893996776
herbal,saiin,44,144,0.0038535645472061657,0.0037927674032712617,1.0160297580817812
herbal,tar,13,43,0.001138553161674549,0.001132562488476835,1.0052894857976187
herbal,sor,17,57,0.001488877211420564,0.0015013037637948744,0.9917228260702554
herbal,otam,14,47,0.0012261341741110527,0.0012379171385677036,0.9904816210313688
herbal,kedy,13,44,0.001138553161674549,0.0011589011509995522,0.9824419974840365
herbal,okal,40,138,0.0035032404974601507,0.0036347354281349594,0.9638226954135474
herbal,keey,13,45,0.001138553161674549,0.0011852398135222693,0.9606099530955022
herbal,qokchdy,16,56,0.0014012961989840604,0.0014749651012721575,0.9500537997647824
herbal,okaiin,60,212,0.005254860746190226,0.0055837964548160245,0.9410910280688882
herbal,sheody,14,50,0.0012261341741110527,0.0013169331261358547,0.9310527237694868
herbal,chear,14,51,0.0012261341741110527,0.0013432717886585719,0.9127967880093008
herbal,sheor,14,51,0.0012261341741110527,0.0013432717886585719,0.9127967880093008
herbal,okar,34,129,0.002977754422841128,0.0033976874654305053,0.8764062183876675
herbal,tedy,11,42,0.0009633911368015414,0.001106223825954118,0.8708826497843839
herbal,dal,65,253,0.005692765808372744,0.006663681618247426,0.8542973891165533
herbal,qoky,37,147,0.0032404974601506395,0.003871783390839413,0.8369521569356417
herbal,cheo,16,65,0.0014012961989840604,0.0017120130639766112,0.8185078890281203
herbal,sal,13,55,0.001138553161674549,0.0014486264387494404,0.7859535979872291
herbal,cheody,21,89,0.0018392012611665792,0.0023441409645218216,0.7845949919405788
herbal,otaiin,36,154,0.0031529164477141357,0.004056154028498433,0.7773167452620947
herbal,aiin,108,470,0.009458749343142408,0.012379171385677035,0.7640858219384846
herbal,okedy,26,118,0.002277106323349098,0.0031079621776806173,0.7326686082931797
herbal,am,19,88,0.0016640392362935715,0.0023178023019991044,0.7179383827767958
herbal,chey,73,344,0.006393413907864775,0.00906049990781468,0.7056358890694824
herbal,oly,12,57,0.0010509721492380452,0.0015013037637948744,0.700039641931945
herbal,ar,70,353,0.006130670870555264,0.009297547870519136,0.6593857817064354
herbal,cheol,34,173,0.002977754422841128,0.0045565886164300575,0.6535052148671047
herbal,olaiin,10,52,0.0008758101243650377,0.001369610451181289,0.639459288303219
herbal,qokar,29,152,0.002539849360658609,0.004003476703452999,0.6344109255008251
herbal,sheey,27,144,0.002364687335785602,0.0037927674032712617,0.6234728060956386
herbal,sol,14,75,0.0012261341741110527,0.0019753996892037822,0.6207018158463244
herbal,l,11,59,0.0009633911368015414,0.0015539810888403087,0.6199503608634597
herbal,qotaiin,14,79,0.0012261341741110527,0.0020807543392946507,0.5892738758034726
herbal,ol,93,539,0.00814503415659485,0.014196539099744516,0.5737337881696414
herbal,okey,11,64,0.0009633911368015414,0.001685674401453894,0.571516738921002
herbal,otar,24,141,0.0021019442984760903,0.0037137514157031108,0.5659894977322107
herbal,sar,14,84,0.0012261341741110527,0.002212447651908236,0.5541980498627898
herbal,otal,23,143,0.0020143632860395865,0.0037664287407485446,0.5348204956717831
herbal,shey,45,283,0.003941145559642669,0.007453841493928939,0.528740188915029
herbal,qotar,10,63,0.0008758101243650377,0.0016593357389311772,0.5278076665359902
herbal,sheol,18,114,0.0015764582238570678,0.003002607527589749,0.5250297314489587
herbal,air,11,74,0.0009633911368015414,0.001949061026681065,0.4942847471749206
herbal,qokedy,40,272,0.0035032404974601507,0.00716411620617905,0.48899827929069684
herbal,okeedy,15,105,0.0013137151865475565,0.002765559564885295,0.4750268998823912
herbal,otedy,21,155,0.0018392012611665792,0.00408249269102115,0.4505093824691065
herbal,chedy,67,501,0.005867927833245752,0.013195669923881265,0.4446858603689451
