section,token,section_share,overall_share
astronomical,choteedy,0.001176470588235294,2.6338662522717095e-05
astronomical,choteey,0.002352941176470588,0.0001843706376590197
astronomical,choteoky,0.001176470588235294,2.6338662522717095e-05
astronomical,chotey,0.001176470588235294,0.00023704796270445386
astronomical,chparam,0.001176470588235294,2.6338662522717095e-05
astronomical,chpiir,0.001176470588235294,2.6338662522717095e-05
astronomical,chpor,0.001176470588235294,5.267732504543419e-05
astronomical,chso,0.001176470588235294,5.267732504543419e-05
astronomical,chteey,0.002352941176470588,7.90159875681513e-05
astronomical,chteokeeiin,0.001176470588235294,2.6338662522717095e-05
astronomical,chy,0.004705882352941176,0.00408249269102115
astronomical,chykchr,0.001176470588235294,2.6338662522717095e-05
astronomical,chykchy,0.001176470588235294,7.90159875681513e-05
astronomical,cpchety,0.001176470588235294,2.6338662522717095e-05
astronomical,cpheeody,0.001176470588235294,2.6338662522717095e-05
astronomical,cpheey,0.001176470588235294,5.267732504543419e-05
astronomical,cphocthy,0.001176470588235294,2.6338662522717095e-05
astronomical,cphol,0.001176470588235294,0.00039507993784075645
astronomical,cphy,0.001176470588235294,0.0004214186003634735
astronomical,cthey,0.001176470588235294,0.0013432717886585719
astronomical,cthody,0.001176470588235294,0.0004740959254089077
astronomical,cthy,0.001176470588235294,0.002923591540021598
astronomical,cthyd,0.001176470588235294,5.267732504543419e-05
astronomical,dacheedy,0.001176470588235294,2.6338662522717095e-05
astronomical,dacsary,0.001176470588235294,2.6338662522717095e-05
astronomical,dady,0.001176470588235294,0.0001316933126135855
astronomical,daiin,0.01411764705882353,0.022756604419627572
astronomical,daiir,0.00823529411764706,0.0006057892380224932
astronomical,dain,0.004705882352941176,0.005557457792293307
astronomical,dair,0.00823529411764706,0.0027918982274080122
astronomical,dairal,0.001176470588235294,0.0001316933126135855
astronomical,dairkal,0.001176470588235294,2.6338662522717095e-05
astronomical,dakan,0.001176470588235294,2.6338662522717095e-05
astronomical,dakeey,0.001176470588235294,2.6338662522717095e-05
astronomical,dal,0.007058823529411765,0.006663681618247426
astronomical,dalaiin,0.001176470588235294,7.90159875681513e-05
astronomical,dalar,0.001176470588235294,0.0001316933126135855
astronomical,dalary,0.001176470588235294,5.267732504543419e-05
astronomical,dalches,0.001176470588235294,2.6338662522717095e-05
astronomical,daldy,0.001176470588235294,0.00044775726288619064
astronomical,daleesd,0.001176470588235294,2.6338662522717095e-05
astronomical,dals,0.001176470588235294,0.0001580319751363026
astronomical,dam,0.002352941176470588,0.0025811889272262752
astronomical,damamm,0.001176470588235294,2.6338662522717095e-05
astronomical,dar,0.011764705882352941,0.008402033344746753
astronomical,darall,0.001176470588235294,2.6338662522717095e-05
astronomical,daram,0.002352941176470588,0.0001843706376590197
astronomical,dararal,0.001176470588235294,2.6338662522717095e-05
astronomical,daro,0.001176470588235294,7.90159875681513e-05
astronomical,dary,0.002352941176470588,0.0006321279005452104
astronomical,dchaiin,0.001176470588235294,0.0001316933126135855
astronomical,dchedal,0.001176470588235294,2.6338662522717095e-05
astronomical,dchedy,0.001176470588235294,0.0007111438881133616
astronomical,dcheedy,0.001176470588235294,0.00010535465009086838
astronomical,dcheeody,0.001176470588235294,5.267732504543419e-05
astronomical,dcheeos,0.001176470588235294,5.267732504543419e-05
astronomical,dcheey,0.001176470588235294,0.00034240261279532225
astronomical,dcheoldy,0.001176470588235294,2.6338662522717095e-05
astronomical,dchetdy,0.001176470588235294,2.6338662522717095e-05
astronomical,dchey,0.001176470588235294,0.0004740959254089077
astronomical,dchodar,0.001176470588235294,2.6338662522717095e-05
astronomical,dchokchr,0.001176470588235294,2.6338662522717095e-05
astronomical,dchol,0.002352941176470588,0.0006848052255906445
astronomical,dcholal,0.001176470588235294,2.6338662522717095e-05
astronomical,dchor,0.001176470588235294,0.0006848052255906445
astronomical,dchreo,0.001176470588235294,2.6338662522717095e-05
astronomical,dchsykchy,0.001176470588235294,2.6338662522717095e-05
astronomical,dchy,0.001176470588235294,0.0007901598756815129
astronomical,dchykchy,0.001176470588235294,2.6338662522717095e-05
astronomical,dchyky,0.001176470588235294,2.6338662522717095e-05
astronomical,dechoekol,0.001176470588235294,2.6338662522717095e-05
astronomical,deeety,0.001176470588235294,2.6338662522717095e-05
astronomical,deeschdy,0.001176470588235294,2.6338662522717095e-05
astronomical,dfar,0.001176470588235294,2.6338662522717095e-05
astronomical,do,0.001176470588235294,0.0004214186003634735
astronomical,doaro,0.001176470588235294,2.6338662522717095e-05
astronomical,doiin,0.001176470588235294,0.0005004345879316248
astronomical,doiir,0.001176470588235294,0.00021070930018173676
astronomical,dokechy,0.001176470588235294,2.6338662522717095e-05
astronomical,dol,0.0035294117647058825,0.0030816235151579
astronomical,dolaiin,0.001176470588235294,2.6338662522717095e-05
