token,overall_share,line_initial_share,line_medial_share,line_final_share,single_token_line_share
alolfchy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alolor,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alols,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
alolshedy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aloly,7.90159875681513e-05,0.0,0.0,0.0004550625711035267,0.0012315270935960591
alom,0.0001580319751363026,0.0,3.5254715318173806e-05,0.0011376564277588168,0.0
alor,0.0001843706376590197,0.0,0.00021152829190904283,0.00022753128555176336,0.0
alory,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alos,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
alosheey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aloy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alpchdar,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alpchdy,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
als,0.00010535465009086838,0.0,7.050943063634761e-05,0.0004550625711035267,0.0
alshdr,2.6338662522717095e-05,0.00022753128555176336,0.0,0.0,0.0
